Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TASK_SSO,Chrome 86.0.4240.198,,,2020-11-18 09:32:01,2020-11-18 10:08:57,36m - 56.062s,INCOMPLETE
,,,,,,,
Test Cases/TASK_SSO/botCreation_Test,Chrome 86.0.4240.198,TestCase Agenda: Verification of task bot creation,,2020-11-18 09:32:49,2020-11-18 09:33:14,25.194s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 86.0.4240.198,,,2020-11-18 09:32:49,2020-11-18 09:32:52,3.313s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 86.0.4240.198,,,2020-11-18 09:32:52,2020-11-18 09:32:55,2.855s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 86.0.4240.198,,,2020-11-18 09:32:55,2020-11-18 09:32:58,2.655s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 86.0.4240.198,,,2020-11-18 09:32:58,2020-11-18 09:33:00,2.282s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 86.0.4240.198,,,2020-11-18 09:33:00,2020-11-18 09:33:03,2.686s,PASSED
"waitForElementVisible(findTestObject(""Generic/modelState""), 60, OPTIONAL)",Chrome 86.0.4240.198,,,2020-11-18 09:33:03,2020-11-18 09:33:11,8.656s,PASSED
"if (!(verifyElementText(findTestObject(""Generic/modelState""), ""Trained"", OPTIONAL)))",Chrome 86.0.4240.198,,,2020-11-18 09:33:11,2020-11-18 09:33:14,2.428s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardPreview_Test,Chrome 86.0.4240.198,TestCase Agenda: Verify if preview is working for task bot,,2020-11-18 09:33:14,2020-11-18 09:34:06,51.907s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 86.0.4240.198,,,2020-11-18 09:33:14,2020-11-18 09:33:17,2.542s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 86.0.4240.198,,,2020-11-18 09:33:17,2020-11-18 09:33:22,5.168s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 86.0.4240.198,,,2020-11-18 09:33:22,2020-11-18 09:33:25,2.925s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 86.0.4240.198,,,2020-11-18 09:33:25,2020-11-18 09:33:28,2.406s,PASSED
"platform.Preview.startBotCardPreview(""Task bots"", TASK_BOT)",Chrome 86.0.4240.198,,,2020-11-18 09:33:28,2020-11-18 09:33:48,20.688s,PASSED
"waitForElementPresent(findTestObject(""Input/chatInput""), 5, OPTIONAL)",Chrome 86.0.4240.198,,,2020-11-18 09:33:48,2020-11-18 09:33:50,1.419s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER), STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:33:50,2020-11-18 09:33:53,3.539s,PASSED
delay(3),Chrome 86.0.4240.198,,,2020-11-18 09:33:53,2020-11-18 09:33:56,3.111s,PASSED
platform.Preview.verifyBotResponse(stringToCheck),Chrome 86.0.4240.198,,,2020-11-18 09:33:56,2020-11-18 09:34:03,7.164s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 86.0.4240.198,,,2020-11-18 09:34:03,2020-11-18 09:34:06,2.383s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardMenu_Test,Chrome 86.0.4240.198,TestCase Agenda: Verify bot card option for task bot,,2020-11-18 09:34:06,2020-11-18 09:34:57,51.305s,PASSED
"botCardOptions = platform.Method.verifyBotCardMenu(""Task bots"", TASK_BOT)",Chrome 86.0.4240.198,,,2020-11-18 09:34:07,2020-11-18 09:34:25,17.954s,PASSED
"verifyElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Copy Preview Link""]), 5, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:25,2020-11-18 09:34:26,1.267s,PASSED
assert botCardOptions.containsAll(BOT_CARD_OPTION) == true,Chrome 86.0.4240.198,,,2020-11-18 09:34:26,2020-11-18 09:34:26,0.018s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":TASK_BOT]))",Chrome 86.0.4240.198,,,2020-11-18 09:34:26,2020-11-18 09:34:29,2.869s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:29,2020-11-18 09:34:32,3.045s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 86.0.4240.198,,,2020-11-18 09:34:32,2020-11-18 09:34:34,2.572s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:34,2020-11-18 09:34:36,1.276s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 86.0.4240.198,,,2020-11-18 09:34:36,2020-11-18 09:34:38,2.424s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Training data""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:38,2020-11-18 09:34:39,1.360s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/response""))",Chrome 86.0.4240.198,,,2020-11-18 09:34:39,2020-11-18 09:34:42,2.526s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Responses""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:42,2020-11-18 09:34:44,1.514s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/curation""))",Chrome 86.0.4240.198,,,2020-11-18 09:34:44,2020-11-18 09:34:48,3.996s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Unresolved issues""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:48,2020-11-18 09:34:49,1.319s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 86.0.4240.198,,,2020-11-18 09:34:49,2020-11-18 09:34:52,2.973s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Conversations""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:52,2020-11-18 09:34:53,1.427s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]))",Chrome 86.0.4240.198,,,2020-11-18 09:34:53,2020-11-18 09:34:56,2.484s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:34:56,2020-11-18 09:34:57,1.442s,PASSED
,,,,,,,
Test Cases/TASK_SSO/sideNavigation_Test,Chrome 86.0.4240.198,TestCase Agenda: To verify if the module on side navigation is accessible to user(Admin),,2020-11-18 09:34:57,2020-11-18 09:35:39,41.779s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":TASK_BOT]))",Chrome 86.0.4240.198,,,2020-11-18 09:34:58,2020-11-18 09:35:00,2.272s,PASSED
"waitForElementVisible(findTestObject(""ICONS/sidebarSettings""), 20, OPTIONAL)",Chrome 86.0.4240.198,,,2020-11-18 09:35:00,2020-11-18 09:35:03,2.676s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:35:03,2020-11-18 09:35:15,11.469s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 86.0.4240.198,,,2020-11-18 09:35:15,2020-11-18 09:35:17,2.952s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:35:17,2020-11-18 09:35:19,1.481s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 86.0.4240.198,,,2020-11-18 09:35:19,2020-11-18 09:35:21,2.337s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Training data""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:35:21,2020-11-18 09:35:23,1.427s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/response""))",Chrome 86.0.4240.198,,,2020-11-18 09:35:23,2020-11-18 09:35:25,2.371s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Responses""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:35:25,2020-11-18 09:35:27,1.822s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/curation""))",Chrome 86.0.4240.198,,,2020-11-18 09:35:27,2020-11-18 09:35:30,2.953s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Unresolved issues""]), 10, STOP_ON_FAILURE)",Chrome 86.0.4240.198,,,2020-11-18 09:35:30,2020-11-18 09:35:31,1.285s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 86.0.4240.198,,,2020-11-18 09:35:31,2020-11-18 09:35:34,2.758s,PASSED
