Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
smartSuiteE2E,,,,2020-09-01 18:28:40,2020-09-01 18:29:04,23.810s,INCOMPLETE
,,,,,,,
Test Cases/Smartbot/botCreation_Test,,TestCase Agenda: Verify successful creation of smart bot,,2020-09-01 18:28:53,2020-09-01 18:28:55,2.334s,FAILED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",,,,2020-09-01 18:28:54,2020-09-01 18:28:55,1.179s,FAILED
,,,,,,,
Test Cases/Smartbot/nlpConceptCreation_Test,,TestCase Agenda: Verify if user create concept and add module to smart bot,,2020-09-01 18:28:55,2020-09-01 18:28:59,4.032s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",,,,2020-09-01 18:28:59,2020-09-01 18:28:59,0.306s,ERROR
,,,,,,,
Test Cases/Smartbot/setUpLogicAndBotPreviewTest,,TestCase Agenda: Verify if bot responsed correctly on weather information post logic set up,,2020-09-01 18:28:59,2020-09-01 18:29:01,1.408s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",,,,2020-09-01 18:29:01,2020-09-01 18:29:01,0.141s,ERROR
,,,,,,,
Test Cases/Smartbot/maskingConcept_Test,,,,2020-09-01 18:29:01,2020-09-01 18:29:02,1.148s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",,,,2020-09-01 18:29:02,2020-09-01 18:29:02,0.266s,ERROR
,,,,,,,
Test Cases/Smartbot/oneClickTestingDisabledCallback_Test,,TestCase Agenda: Verify one click testing with smart bot when callback is disabled,,2020-09-01 18:29:02,2020-09-01 18:29:03,1.087s,ERROR
"waitForElementPresent(findTestObject(""Generic/oneClickTest""), 30, OPTIONAL)",,,,2020-09-01 18:29:03,2020-09-01 18:29:03,0.144s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/oneClickTest""))",,,,2020-09-01 18:29:03,2020-09-01 18:29:03,0.225s,ERROR
,,,,,,,
Test Cases/Smartbot/roomCloseCallback_Test,,,,2020-09-01 18:29:03,2020-09-01 18:29:04,1.007s,ERROR
"platform.Method.clickOnElement(findTestObject(""ICONS/sidebarSettings""))",,,,2020-09-01 18:29:04,2020-09-01 18:29:04,0.324s,ERROR
