Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TASK_SSO,Chrome 85.0.4183.102,,,2020-09-21 11:42:25,2020-09-21 12:20:19,37m - 53.900s,INCOMPLETE
,,,,,,,
Test Cases/TASK_SSO/botCreation_Test,Chrome 85.0.4183.102,TestCase Agenda: Verification of task bot creation,,2020-09-21 11:43:43,2020-09-21 11:44:22,38.669s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 85.0.4183.102,,,2020-09-21 11:43:43,2020-09-21 11:43:47,3.527s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 85.0.4183.102,,,2020-09-21 11:43:47,2020-09-21 11:43:51,4.231s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 85.0.4183.102,,,2020-09-21 11:43:51,2020-09-21 11:43:54,2.778s,PASSED
"platform.Method.clickOnElement(findTestObject(""Toggle/feedback""))",Chrome 85.0.4183.102,,,2020-09-21 11:43:54,2020-09-21 11:43:56,2.236s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/done""))",Chrome 85.0.4183.102,,,2020-09-21 11:43:56,2020-09-21 11:43:59,2.934s,PASSED
"waitForElementVisible(findTestObject(""Generic/modelState""), 60, OPTIONAL)",Chrome 85.0.4183.102,,,2020-09-21 11:43:59,2020-09-21 11:44:19,20.259s,PASSED
"if (!(verifyElementText(findTestObject(""Generic/modelState""), ""Trained"", OPTIONAL)))",Chrome 85.0.4183.102,,,2020-09-21 11:44:19,2020-09-21 11:44:22,2.393s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardPreview_Test,Chrome 85.0.4183.102,TestCase Agenda: Verify if preview is working for task bot,,2020-09-21 11:44:22,2020-09-21 11:45:56,1m - 33.944s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 85.0.4183.102,,,2020-09-21 11:44:23,2020-09-21 11:44:30,7.701s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 85.0.4183.102,,,2020-09-21 11:44:30,2020-09-21 11:44:35,5.123s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Task bots""]))",Chrome 85.0.4183.102,,,2020-09-21 11:44:35,2020-09-21 11:44:40,4.200s,PASSED
"waitForElementVisible(findTestObject(""Button/createBot""), 20, OPTIONAL)",Chrome 85.0.4183.102,,,2020-09-21 11:44:40,2020-09-21 11:44:42,2.301s,PASSED
"platform.Preview.startBotCardPreview(""Task bots"", TASK_BOT)",Chrome 85.0.4183.102,,,2020-09-21 11:44:42,2020-09-21 11:45:38,56.053s,PASSED
"waitForElementPresent(findTestObject(""Input/chatInput""), 5, OPTIONAL)",Chrome 85.0.4183.102,,,2020-09-21 11:45:38,2020-09-21 11:45:39,1.291s,PASSED
"sendKeys(findTestObject(""Input/chatInput""), Keys.chord(userQuery, ENTER), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:45:39,2020-09-21 11:45:43,3.643s,PASSED
delay(3),Chrome 85.0.4183.102,,,2020-09-21 11:45:43,2020-09-21 11:45:46,3.100s,PASSED
platform.Preview.verifyBotResponse(stringToCheck),Chrome 85.0.4183.102,,,2020-09-21 11:45:46,2020-09-21 11:45:53,7.136s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/minimize""))",Chrome 85.0.4183.102,,,2020-09-21 11:45:53,2020-09-21 11:45:56,2.711s,PASSED
,,,,,,,
Test Cases/TASK_SSO/botCardMenu_Test,Chrome 85.0.4183.102,TestCase Agenda: Verify bot card option for task bot,,2020-09-21 11:45:56,2020-09-21 11:46:55,58.921s,PASSED
"botCardOptions = platform.Method.verifyBotCardMenu(""Task bots"", TASK_BOT)",Chrome 85.0.4183.102,,,2020-09-21 11:45:58,2020-09-21 11:46:19,20.657s,PASSED
"verifyElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Copy Preview Link""]), 5, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:19,2020-09-21 11:46:20,1.544s,PASSED
assert botCardOptions.containsAll(BOT_CARD_OPTION) == true,Chrome 85.0.4183.102,,,2020-09-21 11:46:20,2020-09-21 11:46:20,0.113s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":TASK_BOT]))",Chrome 85.0.4183.102,,,2020-09-21 11:46:20,2020-09-21 11:46:25,5.006s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Bot configuration""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:25,2020-09-21 11:46:28,3.149s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.102,,,2020-09-21 11:46:28,2020-09-21 11:46:31,2.834s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Input recognition""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:31,2020-09-21 11:46:33,1.216s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/training""))",Chrome 85.0.4183.102,,,2020-09-21 11:46:33,2020-09-21 11:46:35,2.593s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Training data""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:35,2020-09-21 11:46:37,2.146s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/response""))",Chrome 85.0.4183.102,,,2020-09-21 11:46:37,2020-09-21 11:46:40,2.789s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Responses""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:40,2020-09-21 11:46:42,1.612s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/curation""))",Chrome 85.0.4183.102,,,2020-09-21 11:46:42,2020-09-21 11:46:45,3.765s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Unresolved issues""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:45,2020-09-21 11:46:47,1.295s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/session""))",Chrome 85.0.4183.102,,,2020-09-21 11:46:47,2020-09-21 11:46:50,2.952s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Conversations""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:50,2020-09-21 11:46:51,1.217s,PASSED
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]))",Chrome 85.0.4183.102,,,2020-09-21 11:46:51,2020-09-21 11:46:54,2.672s,PASSED
"waitForElementPresent(findTestObject(""Generic/webObjectWithText"", [""textValue"":""History""]), 10, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-21 11:46:54,2020-09-21 11:46:55,1.267s,PASSED
,,,,,,,
Test Cases/TASK_SSO/sideNavigation_Test,Chrome 85.0.4183.102,TestCase Agenda: To verify if the module on side navigation is accessible to user(Admin),,2020-09-21 11:46:55,2020-09-21 11:47:42,47.491s,PASSED
