Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
routerSuiteE2E,Chrome 85.0.4183.83,,,2020-09-01 18:37:58,2020-09-01 18:40:34,2m - 35.943s,INCOMPLETE
,,,,,,,
Test Cases/Routerbot/botCreation_Test,Chrome 85.0.4183.83,"TestCase Agenda: Verify if a user(Admin) can successfully create a router bot

Step 1: Navigate to bot type
Step 2: Click on create bot button and fill in details
Step 3: Click on done button to complete creation process",,2020-09-01 18:38:53,2020-09-01 18:39:13,20.089s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/webObjectWithText"", [""textValue"":""Router bots""]))",Chrome 85.0.4183.83,,,2020-09-01 18:38:55,2020-09-01 18:38:59,4.811s,PASSED
"platform.Method.clickOnElement(findTestObject(""Button/createBot""))",Chrome 85.0.4183.83,,,2020-09-01 18:38:59,2020-09-01 18:39:03,3.668s,PASSED
"sendKeys(findTestObject(""Input/botName""), nameOfTheBot)",Chrome 85.0.4183.83,,,2020-09-01 18:39:03,2020-09-01 18:39:06,3.386s,PASSED
"platform.Method.clickOnElement(findTestObject(""GenericII/smartContinueBtn""))",Chrome 85.0.4183.83,,,2020-09-01 18:39:06,2020-09-01 18:39:13,6.763s,ERROR
,,,,,,,
Test Cases/Routerbot/sideOptionsNavigation_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify if all side bar navigation is possible,,2020-09-01 18:39:13,2020-09-01 18:39:43,29.830s,ERROR
"waitForElementVisible(findTestObject(""ICONS/sidebarSettings""), 20, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-01 18:39:14,2020-09-01 18:39:37,22.606s,PASSED
"platform.Method.clickOnElement(findTestObject(""ICONS/sidebarSettings""))",Chrome 85.0.4183.83,,,2020-09-01 18:39:37,2020-09-01 18:39:43,6.440s,ERROR
,,,,,,,
Test Cases/Routerbot/nlpConceptCreation_Test,Chrome 85.0.4183.83,TestCase Agenda: To add module and create concept on a router bot,,2020-09-01 18:39:43,2020-09-01 18:39:54,11.346s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",Chrome 85.0.4183.83,,,2020-09-01 18:39:48,2020-09-01 18:39:54,6.242s,ERROR
,,,,,,,
Test Cases/Routerbot/ruleConfiguration_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify if router bot's rule can be updated,,2020-09-01 18:39:54,2020-09-01 18:40:02,7.371s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",Chrome 85.0.4183.83,,,2020-09-01 18:39:55,2020-09-01 18:40:02,6.529s,ERROR
,,,,,,,
Test Cases/Routerbot/ruleAddition_Test,Chrome 85.0.4183.83,TestCase Agenda: Verify if a single rule present in an router bot's logic can be deleted,,2020-09-01 18:40:02,2020-09-01 18:40:11,9.113s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",Chrome 85.0.4183.83,,,2020-09-01 18:40:05,2020-09-01 18:40:11,6.450s,ERROR
,,,,,,,
Test Cases/Routerbot/feedbackFunctionality_Test,Chrome 85.0.4183.83,"TestCase Agenda: Verify if user is able to provide feedback on bot response

Step 1: Navigate to bot 
Step 2: Preview bot and provide feedback on bot response
Step 3: Store session ID to filter it on session
Step 4: Filter the session with session ID
Step 5: Go to session, verify feedback
Step 3: Query bot and verify bot returned response",,2020-09-01 18:40:11,2020-09-01 18:40:19,7.770s,ERROR
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",Chrome 85.0.4183.83,,,2020-09-01 18:40:13,2020-09-01 18:40:19,6.294s,ERROR
,,,,,,,
Test Cases/Routerbot/consumerIDVerificationInChildbots_Test,Chrome 85.0.4183.83,"TestCase Agenda: To verify same consumer id in child bots after preview in router bot

Step 1: Navigate to child bots
Step 2: Verify consumer id in sessions",,2020-09-01 18:40:19,2020-09-01 18:40:27,8.112s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 85.0.4183.83,,,2020-09-01 18:40:21,2020-09-01 18:40:27,6.427s,ERROR
,,,,,,,
Test Cases/Pipelinebot/verify_pipeline_bot_creation,Chrome 85.0.4183.83,TestCase Agenda: Verify creation of a pipeline bot,,2020-09-01 18:40:27,2020-09-01 18:40:34,7.214s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",Chrome 85.0.4183.83,,,2020-09-01 18:40:28,2020-09-01 18:40:34,6.624s,ERROR
