Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
routerSuiteE2E,,,,2020-09-01 18:28:40,2020-09-01 18:29:11,30.303s,INCOMPLETE
,,,,,,,
Test Cases/Routerbot/botCreation_Test,,"TestCase Agenda: Verify if a user(Admin) can successfully create a router bot

Step 1: Navigate to bot type
Step 2: Click on create bot button and fill in details
Step 3: Click on done button to complete creation process",,2020-09-01 18:28:57,2020-09-01 18:28:59,2.372s,FAILED
"callTestCase(findTestCase(""Generic/successfulLogin_Test""), [:], STOP_ON_FAILURE)",,,,2020-09-01 18:28:58,2020-09-01 18:28:59,1.565s,FAILED
,,,,,,,
Test Cases/Routerbot/sideOptionsNavigation_Test,,TestCase Agenda: Verify if all side bar navigation is possible,,2020-09-01 18:28:59,2020-09-01 18:29:01,1.197s,FAILED
"waitForElementVisible(findTestObject(""ICONS/sidebarSettings""), 20, STOP_ON_FAILURE)",,,,2020-09-01 18:29:00,2020-09-01 18:29:01,0.362s,FAILED
,,,,,,,
Test Cases/Routerbot/nlpConceptCreation_Test,,TestCase Agenda: To add module and create concept on a router bot,,2020-09-01 18:29:01,2020-09-01 18:29:07,5.872s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/nlp""))",,,,2020-09-01 18:29:06,2020-09-01 18:29:06,0.276s,ERROR
,,,,,,,
Test Cases/Routerbot/ruleConfiguration_Test,,TestCase Agenda: Verify if router bot's rule can be updated,,2020-09-01 18:29:07,2020-09-01 18:29:07,0.372s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",,,,2020-09-01 18:29:07,2020-09-01 18:29:07,0.076s,ERROR
,,,,,,,
Test Cases/Routerbot/ruleAddition_Test,,TestCase Agenda: Verify if a single rule present in an router bot's logic can be deleted,,2020-09-01 18:29:07,2020-09-01 18:29:08,1.129s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/logic""))",,,,2020-09-01 18:29:08,2020-09-01 18:29:08,0.081s,ERROR
,,,,,,,
Test Cases/Routerbot/feedbackFunctionality_Test,,"TestCase Agenda: Verify if user is able to provide feedback on bot response

Step 1: Navigate to bot 
Step 2: Preview bot and provide feedback on bot response
Step 3: Store session ID to filter it on session
Step 4: Filter the session with session ID
Step 5: Go to session, verify feedback
Step 3: Query bot and verify bot returned response",,2020-09-01 18:29:08,2020-09-01 18:29:09,1.133s,ERROR
"platform.Method.clickOnElement(findTestObject(""Button/preview""))",,,,2020-09-01 18:29:09,2020-09-01 18:29:09,0.229s,ERROR
,,,,,,,
Test Cases/Routerbot/consumerIDVerificationInChildbots_Test,,"TestCase Agenda: To verify same consumer id in child bots after preview in router bot

Step 1: Navigate to child bots
Step 2: Verify consumer id in sessions",,2020-09-01 18:29:09,2020-09-01 18:29:10,0.879s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",,,,2020-09-01 18:29:10,2020-09-01 18:29:10,0.103s,ERROR
,,,,,,,
Test Cases/Pipelinebot/verify_pipeline_bot_creation,,TestCase Agenda: Verify creation of a pipeline bot,,2020-09-01 18:29:10,2020-09-01 18:29:11,0.448s,ERROR
"platform.Method.clickOnElement(findTestObject(""Generic/imiLogo""))",,,,2020-09-01 18:29:11,2020-09-01 18:29:11,0.080s,ERROR
